type,disc,id,competitor_price,product_name,our_price,inventory,demand_score,img_url,timestamp,url,,,
speakers,1,B07L3NDN24,890,"Zebronics Zeb-Fame 2.0 মাল্টি মিডিয়া স্পিকার্স AUX, USB এবং আওয়াজ নিয়ন্ত্রণের সাথে (কালো)",890,10,1,https://m.media-amazon.com/images/I/81SHKIaQDXL._AC_UY654_QL65_.jpg,INR,https://www.amazon.in/-/bn/dp/B07L3NDN24/,100,,
speakers,1,B0DJ3FFC8R,829,"ZEBRONICS Astra 35, পোর্টেবল ব্লুটুথ স্পিকার, 16 Watts, 8h পর্যন্ত ব্যাকআপ, ডুয়াল ড্রাইভার + ডুয়াল প্যাসিভ রেডিয়েটর, কল ফাংশন, ব্লুটুথ v5.3 | USB | mSD| AUX, TWS, RGB LED",829,10,2,https://m.media-amazon.com/images/I/71Gn7eWoLUL._AC_UY654_QL65_.jpg,INR,https://www.amazon.in/-/bn/dp/B0DJ3FFC8R/,100,,
speakers,1,B0F5BC2161,1299,"boAt 2025 Launch Aavante 2.0 150, 2.0 CH, 16W সিগনেচার সাউন্ড, RGB LED, ডুয়াল ফুল-রেঞ্জ ড্রাইভার, 5H পর্যন্ত ব্যাটারি, TWS, মাল্টি পোর্ট, ব্লুটুথ সাউন্ড বার, হোম থিয়েটার সাউন্ডবার স্পিকার",1299,10,3,https://m.media-amazon.com/images/I/81t+HbL-ESL._AC_UY654_QL65_.jpg,INR,https://www.amazon.in/-/bn/dp/B0F5BC2161/,100,,
speakers,1,B07YNV41FT,549,"Zebronics Zeb-county ব্লুটুথ স্পিকার সহ বিল্ট ইন FM রেডিও, Aux ইনপুট এবং কল ফাংশন",549,10,4,https://m.media-amazon.com/images/I/71wAXhzCmnS._AC_UY654_QL65_.jpg,INR,https://www.amazon.in/-/bn/dp/B07YNV41FT/,100,,
speakers,1,B07ZZBYWKF,599,Zebronics স্পীকার,599,10,5,https://m.media-amazon.com/images/I/71kIRMs8nQL._AC_UY654_QL65_.jpg,INR,https://www.amazon.in/-/bn/dp/B07ZZBYWKF/,100,,
speakers,1,B08FB396L1,2799,"JBL Go 3, ওয়্যারলেস আল্ট্রা পোর্টেবল ব্লুটুথ স্পিকার, JBL Pro সাউন্ড, রাগড ফ্যাব্রিক ডিজাইন সহ প্রাণবন্ত রঙ, জলরোধী, টাইপ C (মাইক ছাড়া, নীল)",2799,10,6,https://m.media-amazon.com/images/I/71dV1Nr821L._AC_UY654_QL65_.jpg,INR,https://www.amazon.in/-/bn/dp/B08FB396L1/,100,,
speakers,1,B0DH8CDH9J,899,"Boat Stone 193 Pro / Stone190 Pro 5W সিগনেচার সাউন্ড সহ, 12 ঘন্টা অবধি প্লেটাইম, TWS ফিচার, বিল্ট-ইন মাইক, ব্লুটুথ v5.3, AUX পোর্ট, TF কার্ড, IPX6 এবং টাইপ-C ব্লুটুথ স্পিকার (ট্রপিকাল ব্লু)",899,10,7,https://m.media-amazon.com/images/I/81M4DVkAbPL._AC_UY654_QL65_.jpg,INR,https://www.amazon.in/-/bn/dp/B0DH8CDH9J/,100,,
speakers,1,B0C4B6DT63,469,"পিসির জন্য Ant Esports GS170 গেমিং স্পিকার, স্টিরিও 2.0 USB পাওয়ারড ডেস্কটপ স্পিকার 3.5 mm অক্স-ইন, ইন-লাইন ভলিউম কন্ট্রোল, RGB LED লাইটস মিনি মাল্টিমিডিয়া স্পিকার PC, ল্যাপটপ, ট্যাবলেট, সেলফোনের",469,10,8,https://m.media-amazon.com/images/I/611hOaZ2MVL._AC_UY654_QL65_.jpg,INR,https://www.amazon.in/-/bn/dp/B0C4B6DT63/,100,,
speakers,1,B09XXW54QG,14999,Marshall Emberton II ওয়্যারলেস ব্লুটুথ পোর্টেবল স্পিকার (কালো এবং পিতল),14999,10,9,https://m.media-amazon.com/images/I/81fkcBjZndL._AC_UY654_QL65_.jpg,INR,https://www.amazon.in/-/bn/dp/B09XXW54QG/,100,,
speakers,1,B094RCC4L1,619,"Mivi Play ব্লুটুথ স্পিকার 12 ঘন্টা প্লেটাইম। ব্যতিক্রমী সাউন্ড কোয়ালিটি, পোর্টেবল এবং বিল্ট ইন মাইক-ব্ল্যাক সহ ভারতে তৈরি ওয়্যারলেস স্পিকার",619,10,10,https://m.media-amazon.com/images/I/71u1TBNrlWL._AC_UY654_QL65_.jpg,INR,https://www.amazon.in/-/bn/dp/B094RCC4L1/,100,,
